,,SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
9,L,8,8:56:26,3/3/26,Manual gsw+F,LI-COR Default,,008,,,0.068289,1.863653,0.065875,0.60544,1.061764,1.027045,1.984662,0.922898,10.075042,10.41563,19.469019,0.441786,7.5,PSF-00232_20260303085626_fa6,0,0,0,129.625443,176.638245,0.266153,0.5,0.8,109.734482,1,64.73,62.61,14.34,17.32,17.32,101.94,77.7,-9.9,112.8,1031,3.969,8:45:54,3/3/26,-0.69,1,0,0,-0.002,-0.163,-0.192,-0.264,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,171.972153,25,-3.21578,171.649216,172.030319,-0.381104,2.50337,2.515971,1.044612,0.584524,0.418336,0.033741,0.335017,0.966373,129.625443,0.000625,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20260303085626_fa6,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
10,L,9,8:59:59,3/3/26,Manual gsw+F,LI-COR Default,,009,,,0.05432,1.813397,0.05274,0.436173,1.078449,1.052545,1.909455,0.831006,10.321502,10.575516,18.72455,0.441786,7.5,PSF-00232_20260303085959_cda,0,0,0,113.195297,148.86908,0.239632,0.5,0.8,97.753395,1,63.42,61.9,14.9,16.71,16.71,101.98,75.1,-13.8,118.4,1020,3.964,8:59:24,3/3/26,-0.6,1,-0.001,0,0.001,-0.138,-0.35,-0.655,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,145.282028,25,-2.438587,145.273804,145.374802,-0.100998,2.502228,2.513876,1.027041,0.577859,0.409076,0.020997,0.343938,0.957272,113.195297,0.000613,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20260303085959_cda,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
11,L,10,9:03:37,3/3/26,Manual gsw+F,LI-COR Default,,010,,,0.033115,1.767955,0.032506,0.314122,1.104777,1.085521,2.074901,0.970124,10.644502,10.833328,20.346258,0.441786,7.5,PSF-00232_20260303090337_f29,0,0,0,82.692505,119.038086,0.305327,0.5,0.8,131.491638,1,62.7,61.61,15.45,18.03,18.03,101.98,72.7,-13.2,118.1,1077,3.956,8:59:24,3/3/26,-0.6,1,-0.001,-0.001,-0.003,0.085,0.029,-0.093,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,113.963844,25,-3.46245,114.057899,114.076714,-0.018814,2.501671,2.512718,1.011581,0.579007,0.40007,0.029359,0.352673,1.004638,82.692505,0.000605,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20260303090337_f29,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
12,L,11,9:09:36,3/3/26,Manual gsw+F,LI-COR Default,,011,,,-0.051601,1.729873,-0.053187,-0.569833,1.062679,1.098594,2.138283,1.075604,10.771028,10.418903,20.964531,0.441786,7.5,PSF-00232_20260303090936_4cf,0,0,0,94.926598,137.84671,0.311361,0.5,0.8,134.571701,1,56.43,58.34,16.49,18.51,18.51,102,70.7,-12.5,117.7,1081,3.95,8:59:24,3/3/26,-0.6,1,0,-0.001,0,-0.198,-0.515,-1.161,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,132.880569,25,-3.418013,132.708191,132.949005,-0.240814,2.49679,2.503576,0.998921,0.580062,0.383641,0.023178,0.366024,1.007861,94.926598,0.000595,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20260303090936_4cf,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
13,L,12,9:14:13,3/3/26,Manual gsw+F,LI-COR Default,,012,,,-0.024096,1.741739,-0.024434,-0.311732,1.099091,1.118566,2.37824,1.279149,10.966172,10.77524,23.315735,0.441786,7.5,PSF-00232_20260303091413_758,0,0,0,79.666969,97.965279,0.186784,0.5,0.8,99.756981,1,57.23,58.24,16.8,20.22,20.22,102,71.4,-12.9,118.1,1335,3.94,9:13:33,3/3/26,-0.18,1,0,0.001,0,-0.01,0.239,0.331,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,95.676544,25,-1.580684,95.650078,95.700302,-0.050224,2.496577,2.50404,1.002838,0.579483,0.378907,0.03885,0.376351,1.220183,79.666969,0.000607,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20260303091413_758,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
14,L,13,9:21:29,3/3/26,Manual gsw+F,LI-COR Default,,013,,,-0.071941,1.755715,-0.075015,-1.006536,1.079322,1.141595,2.424501,1.345179,11.191533,10.581039,23.768393,0.441786,7.5,PSF-00232_20260303092129_db6,0,0,0,88.184952,100.832901,0.125435,0.5,0.8,74.750351,1,52.82,55.87,17.78,20.53,20.53,102.01,72.1,-11.3,115.7,1490,3.928,9:13:33,3/3/26,-0.18,1,0,0,0.001,-0.068,-0.077,-0.041,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,99.305031,25,-1.042,99.376205,99.339813,0.036392,2.492949,2.49747,1.007483,0.582186,0.364231,0.031411,0.390357,1.349094,88.184952,0.000603,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20260303092129_db6,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
15,L,14,9:29:32,3/3/26,Manual gsw+F,LI-COR Default,,014,,,-0.085132,1.816817,-0.089318,-1.278014,1.101574,1.177288,2.534954,1.43338,11.542687,10.800351,24.853891,0.441786,7.5,PSF-00232_20260303092932_60d,0,0,0,90.621826,107.832611,0.159606,0.5,0.8,97.591904,1,50.35,53.81,18.87,21.25,21.25,101.99,75.2,-12.2,116.3,1529,3.915,9:28:19,3/3/26,-0.22,1,0,0,-0.002,-0.263,-0.52,-1.164,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,105.223061,25,-1.801961,105.039597,105.250565,-0.210968,2.489742,2.493684,1.028221,0.580581,0.348639,0.027391,0.405231,1.381447,90.621826,0.000605,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20260303092932_60d,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
16,L,15,9:39:17,3/3/26,Manual gsw+F,LI-COR Default,,015,,,-0.076066,1.916072,-0.079211,-1.339389,1.131414,1.205517,2.822669,1.691255,11.81911,11.092588,27.673971,0.441786,7.5,PSF-00232_20260303093917_cc9,0,0,0,87.435722,104.398247,0.162479,0.5,0.8,106.621071,1,48.4,51.57,19.94,23.02,23.02,102,80.5,-11.9,114.8,1641,3.908,9:28:19,3/3/26,-0.22,1,0.002,0.003,0.004,0.033,-0.014,0.079,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,101.966858,25,-1.650513,102.137444,102.033211,0.104233,2.486255,2.490579,1.063496,0.581173,0.334009,0.035492,0.420933,1.474737,87.435722,0.000621,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20260303093917_cc9,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
17,L,16,9:43:28,3/3/26,Manual gsw+F,LI-COR Default,,016,,,-0.083393,1.986176,-0.087048,-1.458941,1.122358,1.199383,2.799133,1.676775,11.757969,11.002865,27.440865,0.441786,7.5,PSF-00232_20260303094328_406,0,0,0,78.304764,106.872368,0.267306,0.5,0.8,169.972916,1,46.9,50.12,20.32,22.88,22.88,102.01,84.4,-10.4,112.3,1590,3.898,9:42:13,3/3/26,-0.13,1,0,0.001,0,-0.009,0.04,0.392,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,103.101967,25,-2.575526,103.133797,103.181877,-0.04808,2.484079,2.488167,1.089706,0.583743,0.32897,0.029589,0.427977,1.432345,78.304764,0.000611,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20260303094328_406,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
18,L,17,9:51:05,3/3/26,Manual gsw+F,LI-COR Default,,017,,,-0.082585,2.088032,-0.085986,-1.647211,1.130244,1.211587,3.044705,1.914462,11.875451,11.078158,29.842886,0.441786,7.5,PSF-00232_20260303095105_cc9,0,0,0,96.792343,113.525124,0.147393,0.5,0.8,96.88443,1,44.55,47.76,21.27,24.27,24.27,102.02,90.3,-11.3,112.5,1643,3.886,9:42:13,3/3/26,-0.13,1,0.001,0,0.001,0.178,-0.122,-0.085,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,111.655716,25,-1.27688,111.801979,111.695473,0.106506,2.480438,2.484497,1.129922,0.582148,0.316678,0.034889,0.440019,1.477045,96.792343,0.000602,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20260303095105_cc9,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
19,L,18,9:59:52,3/3/26,Manual gsw+F,LI-COR Default,,018,,,-0.097523,2.287801,-0.101866,-2.096361,1.078092,1.169215,3.134227,2.056136,11.46095,10.567739,30.722523,0.441786,7.5,PSF-00232_20260303095952_389,0,0,0,77.353836,100.672676,0.23163,0.5,0.8,154.833008,1,40.32,43.73,22.12,24.76,24.76,102.02,102.6,-11.2,110.9,1671,3.878,9:58:31,3/3/26,0.15,1,0,0,0,-0.059,-0.044,-0.371,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,96.749069,25,-2.673468,96.797707,96.841843,-0.044136,2.47438,2.477628,1.217506,0.582436,0.305965,0.03065,0.451351,1.500236,77.353836,0.0006,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20260303095952_389,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
20,L,19,10:05:29,3/3/26,Manual gsw+F,LI-COR Default,,019,,,-0.102847,2.384675,-0.107483,-2.198359,1.048498,1.138412,3.093035,2.044537,11.15729,10.276071,30.314072,0.441786,7.5,PSF-00232_20260303100529_745,0,0,0,53.768635,84.788071,0.365847,0.5,0.8,244.060547,1,38.66,41.98,22.36,24.54,24.54,102.03,109.1,-11.2,110.3,1668,3.862,9:58:31,3/3/26,0.15,1,0,-0.001,-0.002,1.31,-1.276,-5.296,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,74.278954,25,-6.801111,73.851944,75.042702,-1.190758,2.471756,2.475092,1.265058,0.582344,0.30312,0.025373,0.458959,1.497449,54.223896,0.000624,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20260303100529_745,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
21,L,20,10:16:32,3/3/26,Manual gsw+F,LI-COR Default,,020,,,-0.075913,2.4979,-0.078292,-1.537318,1.048301,1.106823,3.011982,1.963682,10.847404,10.273857,29.518892,0.441786,7.5,PSF-00232_20260303101632_2c7,0,0,0,81.412193,95.29023,0.14564,0.5,0.8,101.346222,1,38.68,40.84,22.35,24.09,24.09,102.04,117.2,-10.1,108.6,1740,3.847,10:15:56,3/3/26,0.13,1,0,0,-0.001,-0.074,-0.011,-0.007,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,93.440292,25,-1.28867,93.406319,93.44368,-0.037361,2.470074,2.475155,1.325957,0.584195,0.303229,0.02033,0.471201,1.557386,81.412193,0.000619,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20260303101632_2c7,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
22,L,21,10:27:06,3/3/26,Manual gsw+F,LI-COR Default,,021,,,-0.046344,2.456261,-0.047236,-0.710574,1.082632,1.1104,2.590034,1.507402,10.881844,10.609724,25.382168,0.441786,7.5,PSF-00232_20260303102706_344,0,0,0,89.502098,336.901398,0.734337,0.5,0.8,254.794022,1,39.7,40.72,22.45,21.6,21.6,102.04,114.1,-13.3,111.6,867,3.835,10:15:56,3/3/26,0.13,1,0.001,0.001,0,1.575,1.11,-7.777,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,326.843628,25,-6.819702,328.31131,327.129395,1.181915,2.469878,2.476668,1.302819,0.578855,0.302013,-0.009238,0.487848,0.83022,89.502098,0.000614,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20260303102706_344,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
23,L,1,13:19:07,3/3/26,Manual gsw+F,LI-COR Default,,001,,,0.013843,2.177489,0.013755,0.258949,1.183107,1.171053,3.062272,1.879165,11.487413,11.605656,30.039278,0.441786,7.5,PSF-00232_20260303131907_1d0,0,0,0,76.059578,111.472328,0.317682,0.5,0.8,173.957993,1,43.33,42.88,22.47,24.37,24.37,101.94,95.6,-12.1,112.6,1369,3.837,13:17:15,3/3/26,-0.28,1,0.001,0.003,0.011,-0.78,2.944,-2.479,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,105.19767,25,-4.49538,104.093674,105.030861,-0.937187,2.473062,2.482649,1.167583,0.580887,0.301742,0.022117,0.151316,1.248335,76.059578,0.000634,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20260303131907_1d0,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
