,,,,SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
L,Garcia,G,10,9,9:40:52,8/9/24,Manual gsw+F,LI-COR Default,,009,,0.154893453,2.13357168,0.144409578,1.907531843,1.322036,1.234931,2.586295464,1.264259464,12.64582,13.537789,26.48264861,0.4417875,7.5,PSF-00232_20240809094052_687,0,0,0,100.348236,135.554291,0.259719,0.5,0.8,82.2789792,1,57.11,53.35,19.78,21.58,21.58,97.66,93.2,-11.4,112.3,792,3.803,9:35:48,8/9/24,-0.03,1,0,-0.001,-0.003,-0.478,-0.828,-2.53,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,132.026917,25,-2.69614,130.844955,131.690964,-0.846008,2.488839,2.502871,1.150629,0.581974,0.336148,0.020844,0.105331,0.767361,100.348236,0.000645,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240809094052_687,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,Garcia,G,10,10,9:41:03,8/9/24,Manual gsw+F,LI-COR Default,,010,,0.101654759,2.11861728,0.097000514,1.734160125,1.314847,1.234879,3.022067212,1.707220212,12.645033,13.463901,30.94477998,0.4417875,7.5,PSF-00232_20240809094103_67d,0,0,0,111.005905,137.55513,0.193008,0.5,0.8,114.260736,1,56.38,52.95,19.9,24.15,24.15,97.66,92.3,-12.4,113.4,1480,3.803,9:35:48,8/9/24,-0.03,1,-9999,-9999,-9999,-9999,-9999,-9999,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,135.162949,25,-1.699484,134.878281,135.119919,-0.241638,2.488237,2.501795,1.144144,0.58034,0.33452,0.049064,0.106494,1.340811,111.005905,0.000624,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240809094103_67d,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,Garcia,G,10,11,9:41:23,8/9/24,Manual gsw+F,LI-COR Default,,011,,0.102254937,2.10187208,0.097511076,1.599177538,1.31455,1.239996,2.881750326,1.567200326,12.696969,13.460372,29.50799023,0.4417875,7.5,PSF-00232_20240809094123_dd1,0,0,0,111.085297,139.259628,0.202315,0.5,0.8,119.608628,1,55.6,52.44,20.12,23.36,23.36,97.66,91.3,-11.2,112.2,1478,3.802,9:35:48,8/9/24,-0.03,1,0,0,-0.001,-0.296,-0.431,-0.337,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,135.501617,25,-2.641728,135.069611,135.474274,-0.404663,2.48746,2.500625,1.136981,0.58243,0.331558,0.037404,0.108668,1.339144,111.085297,0.000632,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240809094123_dd1,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
D,Garcia,G,10,1,9:50:37,8/9/24,Manual gsw+F,LI-COR Default,,001,,0.101771709,2.05254192,0.096963922,1.367873325,1.321374,1.255497,2.67136047,1.34998647,12.852176,13.526537,27.34528068,0.4417875,7.5,PSF-00232_20240809095037_0b3,0,0,0,126.904251,438.536163,0.710618,0.5,0.8,1.421236,1,52.24,49.64,21.22,22.11,22.11,97.69,88.4,-12.5,114.1,5,3.804,9:50:22,8/9/24,-0.22,1,-0.001,0,0.003,0.61,1.136,2.531,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,438.536163,25,1.744828,437.475433,441.036346,-3.560913,2.48316,2.495806,1.117266,0.580146,0.317304,0.010554,0.189746,0.111639,126.904251,0.000651,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240809095037_0b3,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
D,Garcia,G,10,2,9:51:22,8/9/24,Manual gsw+F,LI-COR Default,,002,,0.046271354,1.97729192,0.0452133,0.700720436,1.312345,1.276876,2.794223214,1.481878214,13.073374,13.436525,28.60881759,0.4417875,7.5,PSF-00232_20240809095122_76e,0,0,0,145.113235,418.034363,0.652868,0.5,0.8,14.6242432,1,51.03,49.65,21.49,22.85,22.85,97.67,84.1,-11.8,114,56,3.8,9:50:22,8/9/24,-0.22,1,0,-0.001,0.002,0.595,2.27,8.31,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,411.351807,25,-5.466644,406.204834,410.201172,-3.996338,2.483112,2.493997,1.087554,0.581396,0.313876,0.015902,0.194827,0.153559,145.113235,0.000652,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240809095122_76e,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
D,Garcia,G,10,3,9:52:20,8/9/24,Manual gsw+F,LI-COR Default,,003,,0.009492412,1.94684832,0.009446354,0.15471489,1.29197,1.283976,2.857487716,1.565517716,13.147378,13.229231,29.25955065,0.4417875,7.5,PSF-00232_20240809095220_38d,0,0,0,126.546265,423.048035,0.70087,0.5,0.8,2.523132,1,49.04,48.74,21.88,23.22,23.22,97.66,82.4,-12.5,115.1,9,3.798,9:50:22,8/9/24,-0.22,1,0,0,0.002,0.161,-1.159,1.015,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,423.048035,25,0.214023,421.731232,423.354706,-1.623474,2.481703,2.491032,1.075879,0.580223,0.308958,0.015622,0.200536,0.114229,126.546265,0.000639,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240809095220_38d,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,Garcia,E,11,1,10:22:41,8/9/24,Manual gsw+F,LI-COR Default,,001,,0.088257122,1.95943152,0.084453165,1.248142474,1.381518,1.317699,2.792530509,1.411012509,13.506616,14.160774,28.62372396,0.4417875,7.5,PSF-00232_20240809102241_35e,0,0,0,164.725189,494.994873,0.667218,0.5,0.8,6.1384056,1,50.18,47.86,22.61,22.84,22.84,97.56,83.1,-10.7,112.9,23,3.803,10:22:09,8/9/24,0,1,0,0,0.001,0.285,0.55,1.572,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,494.994873,25,1.944341,494.769928,497.780945,-3.011017,2.480254,2.492175,1.080788,0.583206,0.300105,0.00295,0.174975,0.126303,164.725189,0.000646,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240809102241_35e,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,Garcia,E,11,2,10:22:56,8/9/24,Manual gsw+F,LI-COR Default,,002,,0.05842477,1.90136432,0.056683024,0.884819227,1.385163,1.33811,2.874799834,1.489636834,13.715552,14.197845,29.46699297,0.4417875,7.5,PSF-00232_20240809102256_02d,0,0,0,138.178116,523.017578,0.735806,0.5,0.8,13.8331528,1,50.15,48.45,22.66,23.32,23.32,97.56,79.9,-12,115,47,3.801,10:22:09,8/9/24,0,1,-0.001,-0.002,0,0.34,0.527,1.487,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,518.972412,25,-2.720626,518.850098,519.119141,-0.269043,2.481089,2.492125,1.059495,0.580969,0.299483,0.007819,0.176737,0.146269,138.178116,0.000641,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240809102256_02d,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,Garcia,E,11,3,10:23:13,8/9/24,Manual gsw+F,LI-COR Default,,003,,0.043703067,1.86994968,0.042704998,0.638324522,1.387736,1.353055,2.814605799,1.426869799,13.869131,14.22462,28.84999794,0.4417875,7.5,PSF-00232_20240809102313_4db,0,0,0,136.901382,510.231384,0.731688,0.5,0.8,9.6582816,1,50.06,48.81,22.72,22.97,22.97,97.56,78.2,-10.9,114,33,3.799,10:22:09,8/9/24,0,1,0,-0.001,0.002,0.146,0.222,0.776,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,507.870209,25,-1.56708,507.791504,507.985901,-0.194397,2.481596,2.491982,1.047691,0.582849,0.298767,0.003107,0.178654,0.134598,136.901382,0.000652,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240809102313_4db,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,Garcia,E,11,4,10:23:47,8/9/24,Manual gsw+F,LI-COR Default,,004,,0.023316022,1.83248808,0.023023083,0.644123896,1.433056,1.397161,4.085037328,2.651981328,14.322367,14.690327,41.8763437,0.4417875,7.5,PSF-00232_20240809102347_d63,0,0,0,102.682114,113.041092,0.091639,0.5,0.8,67.7762044,1,51.15,49.87,22.89,29.27,29.27,97.55,76.2,-11.3,114.8,1849,3.798,10:22:09,8/9/24,0,1,0.001,0,-0.002,0.218,0.263,1.161,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,112.149956,25,-0.608513,112.194298,112.169151,0.025146,2.483064,2.493498,1.034396,0.582209,0.296663,0.075923,0.182453,1.648382,102.682114,0.000617,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240809102347_d63,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,Garcia,E,11,5,10:24:08,8/9/24,Manual gsw+F,LI-COR Default,,005,,0.025271004,1.83060072,0.024926894,0.676089032,1.450166,1.412446,4.021772771,2.571606771,14.478983,14.865642,41.22780903,0.4417875,7.5,PSF-00232_20240809102408_1e4,0,0,0,76.767685,85.47802,0.101901,0.5,0.8,70.8415752,1,51.22,49.89,23.07,29,29,97.55,76.1,-13,117,1738,3.796,10:22:09,8/9/24,0,1,0,0.001,-0.002,-0.11,-0.012,-0.155,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,84.668755,25,-0.555915,84.70166,84.681442,0.020218,2.483058,2.493566,1.033723,0.579357,0.294637,0.070568,0.184847,1.555811,76.767685,0.000619,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240809102408_1e4,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,Garcia,E,11,6,10:24:38,8/9/24,Manual gsw+F,LI-COR Default,,006,,0.036195606,1.81165232,0.035486607,0.616322447,1.465122,1.430285,3.11951866,1.65439666,14.661922,15.019038,31.97866387,0.4417875,7.5,PSF-00232_20240809102438_fb4,0,0,0,144.508118,371.522034,0.611038,0.5,0.8,23.4638592,1,51.05,49.83,23.29,24.68,24.68,97.55,75.1,-12.3,116.4,96,3.795,10:22:09,8/9/24,0,1,0,0,-0.004,2.479,5.508,-0.399,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,356.694458,25,-10.926033,352.342499,355.866028,-3.523529,2.482916,2.493253,1.027373,0.580471,0.291969,0.016139,0.188084,0.187244,138.466721,0.000648,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240809102438_fb4,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,Garcia,E,11,7,10:25:06,8/9/24,Manual gsw+F,LI-COR Default,,007,,0.006651953,1.80212712,0.00662749,0.154632424,1.432377,1.423575,3.649119582,2.216742582,14.593175,14.683405,37.40768408,0.4417875,7.5,PSF-00232_20240809102506_4f7,0,0,0,136.052734,160.455475,0.152084,0.5,0.8,102.0179472,1,49.19,48.89,23.53,27.33,27.33,97.55,74.6,-10.1,113.5,1677,3.793,10:22:09,8/9/24,0,1,0.001,0.002,-0.001,-1.484,-3.564,-8.758,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,156.91066,25,-2.602732,156.105286,156.725998,-0.620712,2.481506,2.490526,1.024171,0.584294,0.289195,0.044756,0.190987,1.504783,136.052734,0.000615,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240809102506_4f7,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,Garcia,E,11,8,10:25:27,8/9/24,Manual gsw+F,LI-COR Default,,008,,0.028959951,1.800218,0.028501451,0.485360717,1.493876,1.466228,3.115791983,1.621915983,15.030066,15.313479,31.94046113,0.4417875,7.5,PSF-00232_20240809102527_bf0,0,0,0,103.46389,245.304977,0.578223,0.5,0.8,26.3669688,1,50.75,49.82,23.71,24.66,24.66,97.55,74.5,-10.7,114.4,114,3.792,10:22:09,8/9/24,0,1,0.004,0.004,-0.002,-0.028,-0.025,-0.107,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,243.470551,25,-1.343989,243.971222,243.379166,0.592056,2.482787,2.49273,1.023286,0.583208,0.287136,0.01115,0.193025,0.20182,103.963852,0.000642,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240809102527_bf0,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,Garcia,E,11,9,10:26:01,8/9/24,Manual gsw+F,LI-COR Default,,009,,0.014068349,1.79256792,0.013958798,0.254922089,1.481548,1.46695,3.219705631,1.738157631,15.04047,15.190147,33.01246418,0.4417875,7.5,PSF-00232_20240809102601_211,0,0,0,281.623352,426.788513,0.340134,0.5,0.8,11.8366632,1,49.52,49.03,23.98,25.21,25.21,97.53,74.1,-12.8,117.2,87,3.791,10:22:09,8/9/24,0,1,0,0,0.004,11.935,-13.37,17.091,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,418.900238,25,-6.319107,415.630463,417.733795,-2.103333,2.481601,2.49089,1.020569,0.579685,0.28404,0.014392,0.196169,0.179509,281.623352,0.000624,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240809102601_211,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
