,,,,SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
L,Garcia,G,10,9,9:45:44,9/27/24,Manual gsw+F,LI-COR Default,,009,,,0.568731,0.809952,0.33412,1.831234,1.436293,1.174993,1.961591,0.525297,12.04596,14.724794,20.110109,0.441786,7.5,PSF-00232_20240927094544_366,0,0,0,119.269966,451.551208,0.735866,0.5,0.8,21.118042,1,72.36,59.19,17.33,17.14,17.14,97.54,29.8,-12.5,142.1,72,3.944,9:39:30,9/27/24,0.17,1,0.005,-0.005,0.001,0.009,0.012,0.224,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,450.004211,25,-1.113643,449.78894,449.955475,-0.166534,2.49777,2.524582,0.754052,0.580093,0.371027,-0.000992,0.10201,0.166883,119.269966,0.000656,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240927094544_366,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
D,Garcia,G,10,1,9:51:49,9/27/24,Manual gsw+F,LI-COR Default,,001,,,0.343962,0.791567,0.239773,1.755495,1.444466,1.187636,2.145696,0.70123,12.17189,14.804106,21.9909,0.441786,7.5,PSF-00232_20240927095149_624,0,0,0,151.539444,438.020477,0.654036,0.5,0.8,0.092564,1,69.72,57.32,18,18.56,18.56,97.57,29,-12.6,143.4,0,3.942,9:50:56,9/27/24,-1.35,1,-0.005,0.004,0,0.077,0.261,0.456,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,438.020477,25,1.791986,436.533081,440.588226,-4.055145,2.49495,2.522871,0.750062,0.57998,0.361028,0.00706,0.212219,0.107366,151.539444,0.000654,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240927095149_624,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
D,Garcia,G,10,2,9:52:40,9/27/24,Manual gsw+F,LI-COR Default,,002,,,0.218274,0.716113,0.167285,1.358995,1.445115,1.223783,2.222706,0.777591,12.545059,14.813944,22.785063,0.441786,7.5,PSF-00232_20240927095240_8d3,0,0,0,135.270599,464.663025,0.708885,0.5,0.8,0.421818,1,68.59,58.08,18.27,19.13,19.13,97.55,26.1,-12.6,148.4,1,3.939,9:50:56,9/27/24,-1.35,1,-0.005,0.003,-0.002,0.295,0.625,1.261,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,464.663025,25,1.178938,463.360535,466.352325,-2.991791,2.49595,2.521231,0.733966,0.579958,0.35716,0.010309,0.21629,0.108311,135.270599,0.000663,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240927095240_8d3,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
D,Garcia,G,10,3,9:53:40,9/27/24,Manual gsw+F,LI-COR Default,,003,,,0.153599,0.689578,0.125618,1.052063,1.423931,1.245496,2.225681,0.80175,12.767087,14.596149,22.814569,0.441786,7.5,PSF-00232_20240927095340_828,0,0,0,128.65126,515.949036,0.750651,0.5,0.8,0.634857,1,66.12,57.84,18.62,19.15,19.15,97.56,25,-11.8,147.1,2,3.938,9:50:56,9/27/24,-1.35,1,-0.003,0,-0.001,0.202,0.199,0.327,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,515.949036,25,0.584028,514.617188,516.785889,-2.168701,2.49551,2.517711,0.728411,0.581352,0.352194,0.006663,0.220482,0.108834,128.65126,0.000642,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240927095340_828,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,Garcia,E,11,1,10:28:25,9/27/24,Manual gsw+F,LI-COR Default,,001,,,0.137651,0.63567,0.113149,1.052157,1.440068,1.245759,2.32865,0.888582,12.784524,14.778605,23.897621,0.441786,7.5,PSF-00232_20240927102825_97f,0,0,0,134.075043,537.730347,0.750665,0.5,0.8,5.359549,1,64.11,55.46,19.3,19.88,19.88,97.44,23,-11.8,151.2,18,3.94,10:27:54,9/27/24,-0.84,1,-0.001,0.001,0.001,-0.041,0.033,-0.083,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,537.730347,25,3.228476,537.62915,542.356445,-4.727295,2.491963,2.513998,0.717287,0.581409,0.342741,0.00716,0.183728,0.121951,134.075043,0.000655,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240927102825_97f,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,Garcia,E,11,2,10:28:50,9/27/24,Manual gsw+F,LI-COR Default,,002,,,0.122339,0.60914,0.101878,0.95361,1.457808,1.273635,2.351945,0.894137,13.072437,14.962772,24.140087,0.441786,7.5,PSF-00232_20240927102850_583,0,0,0,129.213455,476.364899,0.728751,0.5,0.8,2.508809,1,64.29,56.17,19.45,20.04,20.04,97.43,22,-11.5,152.5,9,3.938,10:27:54,9/27/24,-0.84,1,-0.001,-0.002,0,0.134,0.405,0.161,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,474.691284,25,-1.055603,474.498871,474.852325,-0.353455,2.492932,2.514216,0.71189,0.581824,0.340673,0.007259,0.18658,0.114246,129.031418,0.00065,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240927102850_583,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,Garcia,E,11,3,10:29:18,9/27/24,Manual gsw+F,LI-COR Default,,003,,,0.103133,0.586786,0.087716,0.838759,1.464186,1.295686,2.377462,0.913276,13.298701,15.02816,24.401867,0.441786,7.5,PSF-00232_20240927102918_e6f,0,0,0,138.037567,515.633911,0.732295,0.5,0.8,6.01739,1,63.83,56.49,19.63,20.21,20.21,97.43,21.1,-11.8,155.8,21,3.936,10:27:54,9/27/24,-0.84,1,0.001,-0.002,0,0.226,0.471,2.376,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,515.633911,25,2.894746,515.220154,519.781799,-4.561646,2.493334,2.513528,0.707382,0.581375,0.33815,0.007125,0.189522,0.124197,138.037567,0.000664,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240927102918_e6f,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,Garcia,E,11,4,10:30:03,9/27/24,Manual gsw+F,LI-COR Default,,004,,,0.149601,0.593142,0.119469,1.1056,1.556359,1.336958,2.439565,0.883206,13.72147,15.973224,25.037741,0.441786,7.5,PSF-00232_20240927103003_469,0,0,0,132.172104,475.562225,0.722072,0.5,0.8,11.522839,1,66.49,57.11,19.96,20.63,20.63,97.44,21.3,-12.3,157.6,40,3.934,10:27:54,9/27/24,-0.84,1,0,0,0.006,2.583,-5.496,-5.213,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,468.526489,25,-4.955166,466.598511,468.461914,-1.863403,2.494129,2.517148,0.70866,0.580507,0.333721,0.008098,0.194027,0.14033,132.058029,0.000656,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240927103003_469,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,Garcia,E,11,5,10:30:39,9/27/24,Manual gsw+F,LI-COR Default,,005,,,0.159871,0.570774,0.12489,1.173413,1.616554,1.374207,2.512682,0.896129,14.102784,16.589861,25.786371,0.441786,7.5,PSF-00232_20240927103039_315,0,0,0,103.188515,290.411713,0.644682,0.5,0.8,75.367813,1,67.8,57.64,20.26,21.11,21.11,97.44,20.5,-12.2,159.3,292,3.933,10:27:54,9/27/24,-0.84,1,-0.002,0.003,0.003,0.344,2.345,3.908,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,290.411713,25,0.607606,293.661133,291.282349,2.378784,2.494791,2.51891,0.704175,0.580727,0.329776,0.010144,0.197391,0.350726,103.188515,0.000644,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240927103039_315,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,Garcia,E,11,6,10:31:13,9/27/24,Manual gsw+F,LI-COR Default,,006,,,0.081878,0.574869,0.07167,0.915344,1.583089,1.395409,2.799494,1.216405,14.321547,16.247768,28.732132,0.441786,7.5,PSF-00232_20240927103113_66d,0,0,0,114.817856,221.406265,0.481416,0.5,0.8,227.942093,1,65.19,57.46,20.55,22.88,22.88,97.43,20.7,-12.1,158.6,1184,3.932,10:27:54,9/27/24,-0.84,1,0.004,0.001,0.004,-4.43,-4.77,-16.145,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,221.000076,25,-0.165051,222.470642,221.169769,1.300873,2.494458,2.515178,0.704993,0.580833,0.325846,0.026905,0.20033,1.093893,114.817856,0.000624,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240927103113_66d,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,Garcia,E,11,7,10:31:42,9/27/24,Manual gsw+F,LI-COR Default,,007,,,0.086953,0.554285,0.075162,0.771724,1.5783,1.413874,2.557475,0.979174,14.511058,16.198618,26.248209,0.441786,7.5,PSF-00232_20240927103142_84c,0,0,0,123.195648,345.765442,0.643702,0.5,0.8,53.075916,1,64.01,57.34,20.8,21.4,21.4,97.43,19.9,-12.2,161.5,206,3.931,10:27:54,9/27/24,-0.84,1,0,-0.001,-0.001,0.995,-0.663,0.822,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,342.535248,25,-2.172873,342.430817,342.651917,-0.2211,2.494227,2.513465,0.70089,0.580626,0.322639,0.007213,0.202719,0.27892,123.195648,0.000654,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240927103142_84c,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,Garcia,E,11,8,10:32:23,9/27/24,Manual gsw+F,LI-COR Default,,008,,,0.059742,0.557326,0.053958,0.585198,1.564366,1.440382,2.598486,1.03412,14.783494,16.056021,26.669806,0.441786,7.5,PSF-00232_20240927103223_aa8,0,0,0,131.869202,416.339722,0.683265,0.5,0.8,29.082657,1,62.15,57.23,21.14,21.66,21.66,97.43,20,-11.6,158.1,106,3.929,10:27:54,9/27/24,-0.84,1,-0.001,-0.004,-0.004,0.001,0.267,1.1,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,415.266388,25,-0.707363,415.778503,415.326141,0.452362,2.493973,2.510768,0.701495,0.581651,0.318326,0.006335,0.206009,0.195782,131.869202,0.000661,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240927103223_aa8,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,Garcia,E,11,9,10:32:57,9/27/24,Manual gsw+F,LI-COR Default,,009,,,0.038231,0.552516,0.035757,0.385341,1.538038,1.455627,2.565913,1.027875,14.939889,15.785718,26.335354,0.441786,7.5,PSF-00232_20240927103257_df5,0,0,0,119.665504,390.912964,0.693882,0.5,0.8,13.790274,1,60.13,56.91,21.4,21.45,21.45,97.43,19.8,-12,160.8,50,3.928,10:27:54,9/27/24,-0.84,1,0,0,-0.001,0.013,0.026,-0.004,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,390.06543,25,-0.467948,391.018158,390.242432,0.775726,2.49346,2.507858,0.700539,0.580912,0.315003,0.001034,0.208537,0.148492,119.665504,0.000652,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240927103257_df5,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
D,Garcia,E,11,1,10:48:54,9/27/24,Manual gsw+F,LI-COR Default,,001,,,0.042612,0.532602,0.039455,0.561972,1.596851,1.472017,2.952254,1.355403,15.107565,16.38876,30.299492,0.441786,7.5,PSF-00232_20240927104854_2ff,0,0,0,149.965881,502.776855,0.701725,0.5,0.8,0.506782,1,57.77,53.25,22.67,23.76,23.76,97.44,19.1,-12.1,163.7,2,3.928,10:48:28,9/27/24,-0.68,1,0,0.001,0.002,0.1,0.483,1.406,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,502.776855,25,1.012073,500.628937,504.227051,-3.598114,2.487951,2.503962,0.6966,0.580754,0.299332,0.012755,0.196687,0.108576,149.965881,0.000643,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240927104854_2ff,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
D,Garcia,E,11,2,10:50:02,9/27/24,Manual gsw+F,LI-COR Default,,002,,,0.066747,0.48262,0.058637,0.792894,1.790138,1.595334,3.074454,1.284315,16.377264,18.377075,31.561504,0.441786,7.5,PSF-00232_20240927105002_be9,0,0,0,89.889404,177.771454,0.494354,0.5,0.8,13.033345,1,63,56.14,23.13,24.44,24.44,97.41,17.2,-12.3,171.6,66,3.925,10:48:28,9/27/24,-0.68,1,0,-0.003,0.001,-0.209,-0.203,-0.355,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,177.771454,25,0.326475,178.390854,178.239258,0.151596,2.491911,2.511199,0.68683,0.580469,0.293907,0.015284,0.204604,0.162019,89.889404,0.000641,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240927105002_be9,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
